State/Uts,total 9-14,women 9-14,men 9-14,bjp 9-14,INC 9-14,NCP 9-14,State 9-14
Andhra Pradesh,6419452,3053165,3366287,3,-31,0,19
Arunachal Pradesh,100186,53953,46233,1,-1,0,0
Assam,2945371,1576094,1369277,3,-4,0,1
Bihar,11656983,6349154,5307829,10,0,1,-8
Chattisgarh,3701301,1948781,1752520,0,0,0,0
Goa,253185,146548,106637,1,-1,0,0
Gujarat,8373567,3888397,4485170,11,-11,0,0
Haryana,3343575,1523876,1819699,7,-8,0,2
Himachal Pradesh,409349,194276,215073,1,-1,0,0
Jammu & Kashmir,963657,572817,390840,3,-2,0,0
Jharkhand,3844452,2089773,1754679,4,-1,0,0
Karnataka,6477770,3283789,3193981,-2,3,0,-1
Kerala,1950251,1062473,887778,0,-5,0,0
Madhya Pradesh,10161887,5045614,5116273,11,-10,0,0
Maharashtra,11745366,5559530,6185836,14,-15,-4,7
Manipur,75732,37307,38425,0,0,0,0
Meghalaya,255729,136735,118994,0,0,-1,1
Mizoram,108971,59391,49580,0,0,0,0
Nagaland,-149639,-65114,-84525,0,0,0,0
Odisha,3775581,1977657,1797924,1,-6,0,6
Punjab,2017190,939468,1077722,1,-5,0,0
Rajasthan,9198496,4596659,4601837,21,-20,0,0
Sikkim,58319,27529,30790,0,0,0,0
Tamil Nadu,10247145,5427764,4819381,1,-8,0,10
Tripura,270206,143459,126747,0,0,0,0
Uttar Pradesh,25688417,12809999,12878418,61,-19,0,-18
Uttarakhand,1254862,671738,583124,5,-5,0,0
West Bengal,8931081,4700976,4230105,1,-2,0,11
Andaman & Nicobar Islands,20243,10725,9518,0,0,0,0
Chandigarh,109905,57240,52665,1,-1,0,0
Dadra & Nagar Haveli,54961,24877,30084,0,0,0,0
Daman & Diu,19209,9351,9858,0,0,0,0
Delhi,2520890,1174590,1346300,7,-7,0,0
Lakshadweep,3744,1878,1866,0,-1,1,0
Puduchery,131550,72806,58744,0,-1,0,0
